time,amplitude,label,wind_speed
0.362,-0.02411,1,1.3
0.363,-0.02581,1,1.3
0.364,0.03005,1,1.3
0.365,-0.01307,1,1.3
0.366,0.00781,1,1.3
0.367,0.04535,1,1.3
0.368,0.03923,1,1.3
0.369,-0.0557,1,1.3
0.37,0.00604,1,1.3
0.371,-0.02561,1,1.3
0.372,-0.048780000000000004,1,1.3
0.373,0.013290000000000001,1,1.3
0.374,-0.035140000000000005,1,1.3
0.375,-0.042760000000000006,1,1.3
0.376,0.0083,1,1.3
0.377,-0.0238,1,1.3
0.378,0.09675,1,1.3
0.379,-0.02411,1,1.3
0.38,0.10640999999999999,1,1.3
0.381,0.16264,1,1.3
0.382,0.07532,1,1.3
0.383,0.12687,1,1.3
0.384,-0.0017599999999999998,1,1.3
0.385,0.01925,1,1.3
0.386,-0.01067,1,1.3
0.387,0.043899999999999995,1,1.3
0.388,0.05921,1,1.3
0.389,0.046959999999999995,1,1.3
0.39,-0.07475,1,1.3
0.391,-0.13182,1,1.3
0.392,-0.07255,1,1.3
0.393,0.04116,1,1.3
0.394,-0.03624,1,1.3
0.395,-0.03313,1,1.3
0.396,-0.01007,1,1.3
0.397,-0.01327,1,1.3
0.398,0.11979000000000001,1,1.3
0.399,-0.040749999999999995,1,1.3
0.4,0.00653,1,1.3
0.401,-0.08588,1,1.3
0.402,0.10125999999999999,1,1.3
0.403,-0.016280000000000003,1,1.3
0.404,0.0033,1,1.3
0.405,0.02199,1,1.3
0.406,0.02199,1,1.3
0.407,0.00749,1,1.3
0.408,-0.06422,1,1.3
0.409,0.00613,1,1.3
0.41,-0.03193,1,1.3
0.411,-0.07926000000000001,1,1.3
0.412,0.02248,1,1.3
0.413,-0.051789999999999996,1,1.3
0.414,-0.05219,1,1.3
0.415,-0.01478,1,1.3
0.416,-0.01859,1,1.3
0.417,-0.014079999999999999,1,1.3
0.418,0.0526,1,1.3
0.419,-0.01719,1,1.3
0.42,-0.01448,1,1.3
